Date,Open,High,Low,Close,Volume,Turnover,P/E,P/B,Div Yield,sin_day,cos_day,sin_month,cos_month,reindexed_id
04-02-2000,1598.5,1621.35,1596.45,1599.75,30459542,16946600000,25.94,4.65,0.94,0.743144825,0.669130606,0.866025404,0.5,1
07-02-2000,1599.8,1645.9,1599.8,1636.6,34666978,20360700000,26.54,4.76,0.92,0.994521895,0.104528463,0.866025404,0.5,1
08-02-2000,1636.6,1676.1,1636.6,1662.75,40722843,19752900000,26.96,4.83,0.91,0.994521895,-0.104528463,0.866025404,0.5,1
09-02-2000,1666.95,1731.65,1666.7,1689.65,41767017,20960000000,27.4,4.91,0.93,0.951056516,-0.309016994,0.866025404,0.5,1
10-02-2000,1692.1,1713.7,1692.1,1711.2,30110126,16648600000,27.75,4.98,0.92,0.866025404,-0.5,0.866025404,0.5,1
11-02-2000,1712.85,1771.65,1712.85,1756,33406798,18345800000,28.47,5.11,0.9,0.743144825,-0.669130606,0.866025404,0.5,1
14-02-2000,1777.75,1795.45,1738.75,1744.5,31621011,17287200000,28.29,5.07,0.9,0.207911691,-0.978147601,0.866025404,0.5,1
15-02-2000,1744.5,1744.5,1694.45,1702.55,39135619,23709400000,27.19,4.93,0.92,5.67E-16,-1,0.866025404,0.5,1
16-02-2000,1704.85,1742.8,1704.15,1711.1,31314383,18114000000,27.32,4.95,0.92,-0.207911691,-0.978147601,0.866025404,0.5,1
17-02-2000,1710.05,1753.1,1710.05,1742.1,28333952,18225600000,27.82,5.04,0.9,-0.406736643,-0.913545458,0.866025404,0.5,1
18-02-2000,1742.3,1764.15,1713.45,1717.8,24491796,14733900000,27.43,4.97,0.9,-0.587785252,-0.809016994,0.866025404,0.5,1
21-02-2000,1719.55,1767.8,1719.55,1753.5,26015488,19183800000,28,5.08,0.89,-0.951056516,-0.309016994,0.866025404,0.5,1
22-02-2000,1754.2,1781.05,1733.55,1739.05,33425078,24166700000,27.77,5.03,0.89,-0.994521895,-0.104528463,0.866025404,0.5,1
23-02-2000,1745.2,1818.15,1689.2,1696.4,27905642,23892800000,27.09,4.91,0.92,-0.994521895,0.104528463,0.866025404,0.5,1
24-02-2000,1696.4,1751.6,1693.1,1732,23492408,19152400000,27.66,5.01,0.9,-0.951056516,0.309016994,0.866025404,0.5,1
25-02-2000,1734.05,1757.05,1699.25,1710.45,19458640,12358400000,27.29,4.95,0.91,-0.866025404,0.5,0.866025404,0.5,1
28-02-2000,1711.15,1726.65,1670.75,1722.55,27266318,14862100000,27.49,4.98,0.9,-0.406736643,0.913545458,0.866025404,0.5,1
29-02-2000,1722.85,1783.3,1626.35,1654.8,49498835,32070000000,26.36,4.79,0.94,-0.207911691,0.978147601,0.866025404,0.5,1
01-03-2000,1661.5,1727.9,1630,1712.7,37586272,17229900000,27.35,4.96,0.91,0.207911691,0.978147601,1,6.12E-17,1
02-03-2000,1713.65,1773.85,1690.05,1696.55,42276125,14586800000,27.09,4.92,0.91,0.406736643,0.913545458,1,6.12E-17,1
03-03-2000,1696.45,1719.15,1644.4,1656,29500370,17489500000,26.47,4.8,0.94,0.587785252,0.809016994,1,6.12E-17,1
06-03-2000,1656,1721,1656,1688.5,32426509,15035900000,26.99,4.89,0.92,0.951056516,0.309016994,1,6.12E-17,1
07-03-2000,1711.85,1730.85,1684.9,1702.75,36861204,19550200000,27.22,4.94,0.91,0.994521895,0.104528463,1,6.12E-17,1
08-03-2000,1717.75,1765.25,1654.45,1666.35,30249973,24361600000,26.64,4.83,1.03,0.994521895,-0.104528463,1,6.12E-17,1
09-03-2000,1667.45,1692.25,1595.45,1646.25,27734646,23436000000,26.32,4.77,1.04,0.951056516,-0.309016994,1,6.12E-17,1
10-03-2000,1647.85,1680.45,1588.2,1602.75,23714154,18464400000,25.62,4.65,1.07,0.866025404,-0.5,1,6.12E-17,1
13-03-2000,1601.4,1645,1553.45,1560.7,32025029,23397200000,24.95,4.52,1.1,0.406736643,-0.913545458,1,6.12E-17,1
14-03-2000,1561.55,1571.3,1503.2,1567.05,37965722,21016600000,25.05,4.54,1.09,0.207911691,-0.978147601,1,6.12E-17,1
15-03-2000,1546.8,1630.95,1538.7,1620.1,28895834,19755200000,25.9,4.7,1.06,5.67E-16,-1,1,6.12E-17,1
16-03-2000,1620.4,1621.2,1554.3,1562.2,33981961,18739200000,24.97,4.53,1.09,-0.207911691,-0.978147601,1,6.12E-17,1
21-03-2000,1563.3,1585.25,1542.65,1556.6,30768798,20213300000,24.89,4.51,1.02,-0.951056516,-0.309016994,1,6.12E-17,1
22-03-2000,1551.05,1604,1551.05,1589.6,26938367,15825300000,25.41,4.61,1.03,-0.994521895,-0.104528463,1,6.12E-17,1
23-03-2000,1590.3,1629.2,1544.5,1553.4,21308741,16453500000,24.83,4.5,1.06,-0.994521895,0.104528463,1,6.12E-17,1
24-03-2000,1554.2,1579.4,1540.45,1569.55,15407574,13522000000,25.09,4.55,1.05,-0.951056516,0.309016994,1,6.12E-17,1
27-03-2000,1570.45,1593.3,1555.75,1562.95,19049762,12186000000,24.99,4.53,1.05,-0.587785252,0.809016994,1,6.12E-17,1
28-03-2000,1563.3,1575.85,1527.55,1568.6,28174402,18382200000,25.08,4.55,1.04,-0.406736643,0.913545458,1,6.12E-17,1
29-03-2000,1569.3,1609.4,1553.4,1558.25,32288722,14686600000,25.08,4.55,1.04,-0.207911691,0.978147601,1,6.12E-17,1
30-03-2000,1556.95,1557.85,1489.1,1549.5,38871150,15622600000,24.94,4.52,1.05,-1.13E-15,1,1,6.12E-17,1
31-03-2000,1545.55,1545.55,1493.9,1528.45,49680971,17577700000,24.6,4.46,1.06,0.207911691,0.978147601,1,6.12E-17,1
03-04-2000,1528.7,1555.5,1510.75,1534.75,50909584,16384600000,24.7,4.48,1.06,0.587785252,0.809016994,0.866025404,-0.5,1
04-04-2000,1534.05,1534.05,1420.85,1428.1,42180348,10710700000,22.99,4.17,1.14,0.743144825,0.669130606,0.866025404,-0.5,1
05-04-2000,1428.5,1467.4,1391.65,1434.65,49400946,18802600000,23.09,4.19,1.51,0.866025404,0.5,0.866025404,-0.5,1
06-04-2000,1436.15,1475.25,1381.05,1452.95,40869843,18509600000,23.39,4.24,1.49,0.951056516,0.309016994,0.866025404,-0.5,1
07-04-2000,1453.3,1558.05,1453.3,1557.15,49468064,12722000000,25.06,4.54,1.39,0.994521895,0.104528463,0.866025404,-0.5,1
10-04-2000,1557.55,1636.95,1557.55,1613,67959549,19326400000,25.96,4.71,1.34,0.866025404,-0.5,0.866025404,-0.5,1
11-04-2000,1613,1631.6,1550.85,1624.65,34966347,20422400000,25.72,4.71,1.33,0.743144825,-0.669130606,0.866025404,-0.5,1
12-04-2000,1624.4,1628.55,1586,1592.7,35323588,20749200000,25.21,4.62,1.47,0.587785252,-0.809016994,0.866025404,-0.5,1
13-04-2000,1587.95,1587.95,1502.7,1518.65,20985552,12078700000,23.98,4.38,1.54,0.406736643,-0.913545458,0.866025404,-0.5,1
17-04-2000,1518.55,1518.55,1412.45,1443.55,47786700,11097000000,21.74,3.91,1.62,-0.406736643,-0.913545458,0.866025404,-0.5,1
